318,hari ne pAnI se GadZe ko nahIM BarA,hari ne pAnI se #GadZA nahIM BarI,hari ne pAnI se #GadZA nahIM BarI
319,GadZe meM pAnI hari ne BarA,#GadZA meM pAnI hari ne BarA,#GadZA meM pAnI hari ne BarA
321,sUrya nakRawra hE,sUrya nakRawra hE,sUrya nakRawra hE
322,sUrya badA nakRawra hE,sUrya #badZA nakRawra hE,sUrya #badZA nakRawra hE
323,sUrya sabase badA nakRawra hE,sUrya #badZA nakRawra hE,sUrya #badZA nakRawra hE
324,गुलाब जैसे फूल पानी में नहीं उगते हैं।			,gulAboM PUla pAnI meM nahIM ugawe hEM,gulAboM PUla pAnI meM nahIM ugawe hEM
325,mEMne rAma se praSna pUCA,mEMne rAma praSna pUCA,mEMne rAma praSna pUCA
326,SikRikA ne CAwroM se kakRA ko sAPa karAyA,SikRaka CAwra ko kakRA #sAPakarayA,SikRaka CAwra ko kakRA #sAPakarayA
327,hama puswaka paDawe hEM,hama puswakeM paDawe hEM,hama puswakeM paDawe hEM
328,saviwA rImA ko xasa seba xegI,saviwA rImA ko #xasa seba xegA,saviwA rImA ko #xasa seba xegA
329,rAma yaha kAma nahIM kara sakawA,rAma yaha kAma nahIM kara,rAma yaha kAma nahIM kara
330,rAma yaha kAma kara sakawA hE,rAma yaha kAma kara hE,rAma yaha kAma kara hE
331,kyA usane KAyA,usa KAyA,usa KAyA
333,kyA usane nahIM KAyA,usa nahIM KAyA,usa nahIM KAyA
335,sUrya camakawA BI hE,sUrya camakawA hE BI,sUrya camakawA hE BI
336,usane nahIM KAyA,usa nahIM KAyA,usa nahIM KAyA
337,viveka ne rAhula ko BI samAroha meM AmaMwriwa kiyA,vivek ne rahul ko BI samAroha ke lie #AmaMwriwakara,vivek ne rahul ko BI samAroha ke lie #AmaMwriwakara
340,yaha Gara hE,#yaha Gara hE,#yaha Gara hE
341,mEM vahAz A rahA hUz,mEM vahAz A rahA hUz,mEM vahAz A rahA hUz
342,rAma apane piwA ke sAWa vixyAlaya gayA,rAma ne #apanA piwA vixyAlaya jAyA,rAma ne #apanA piwA vixyAlaya jAyA
343,Apa wAroM kI gaNanA nahIM kara sakawe,#wuma wAre nahIM #gaNanAkara,#wuma wAre nahIM #gaNanAkara
344,ismA puswakeM paDegI,ismA puswakeM paDegI,ismA puswakeM paDegI
345,vaha apane piwA ke sAWa vixyAlaya jAyegI,usa #apanA piwA vixyAlaya jAegA,usa #apanA piwA vixyAlaya jAegA
349,mEMne usase eka praSna pUCA,mEMne vaha eka praSna pUCA,mEMne vaha eka praSna pUCA
351,Apa AsamAna kA avalokana acCI waraha se kara sakawe hEM,#wuma AsamAna acCIwaraha #avalokanakara hE,#wuma AsamAna acCIwaraha #avalokanakara hE
352,wAre timatimAwe hE,wAre timatimAwe hEM,wAre timatimAwe hEM
354,BArawa meM xvIpasamUha hEM,BArawa meM #xvIpasamUha hEM,BArawa meM #xvIpasamUha hEM
355,ye prawIka hE,#yaha prawIka hE,#yaha prawIka hE
356,rAma ko xillI jAnA padZA,rAma xillI jAnA #padZa,rAma xillI jAnA #padZa
357,rAma ne SyAma xvArA mohana se BiKArI ko xAna xilavAyA,rAma SyAma mohana ko BiKArI ko xAna #xeyA,rAma SyAma mohana ko BiKArI ko xAna #xeyA
358,mAz ne rAma se bacce ko KAnA KilavAyA,mAz rAma baccA ko KAnA #KAyA,mAz rAma baccA ko KAnA #KAyA
